kepid,pl_name,lit_duration,lit_depth_ppm,cat_duration,cat_depth_ppm,est_duration,est_duration_err,est_depth_ppm,est_depth_err
1718189,Kepler-262 c,3.49,355.6,3.496,377.1,3.4796126,0.08611021,334.57693,6.3535438
1718189,Kepler-262 b,3.278,236.6,3.18,253.0,3.160125,0.17665286,212.40707,4.1883087
2439243,Kepler-1172 b,4.84,1164.4,4.737,1149.0,4.5001497,0.12947446,1083.1202,35.181816
2693736,Kepler-1034 b,3.3136,788.4,3.307,758.7,3.2527444,0.110038035,728.3509,11.862067
2713049,Kepler-683 b,2.383,382.1,2.382,395.8,2.3745563,0.09694752,378.7364,6.205497
2718778,Kepler-1844 b,3.708,463.5,3.526,426.4,3.4433594,0.027546875,373.0738,11.307016
2853093,Kepler-767 b,3.6935,4653.6,3.646,4786.0,3.3839438,0.112720415,4723.129,160.73418
2854914,Kepler-268 b,4.571,414.5,4.779,421.7,4.59232,0.11075629,378.66306,7.2003155
2854914,Kepler-268 c,7.219,503.0,6.621,492.0,6.5692735,0.12130954,446.43954,14.116792
3218908,Kepler-770 b,3.7409,640.9,3.758,630.3,3.7403843,0.07274967,571.8964,15.647192
3218908,Kepler-770 c,2.326,154.9,2.208,128.3,2.213175,0.09963274,134.97871,4.684291
3218908,Kepler-770 d,2.5916,223.39999999999998,2.543,204.7,2.4635313,0.13253067,226.86879,7.656139
3234598,Kepler-383 b,3.322,412.4,3.093,412.8,3.1219966,0.09833319,383.42426,15.396087
3234598,Kepler-383 c,3.718,360.1,4.02,329.0,3.8504062,0.19242576,276.2968,13.458237
3342970,Kepler-234 b,3.175,837.5,3.112,830.9,2.9393814,0.054037236,799.9135,20.331957
3342970,Kepler-234 c,4.039,950.4,3.997,965.8,3.9126883,0.05372421,923.4407,19.549839
3351888,Kepler-685 b,2.38785,7969.000000000001,2.53,8837.0,2.263164,0.07831778,7808.4106,179.48912
3440118,Kepler-1928 b,2.3,432.6,1.923,436.6,1.7442211,0.0842385,394.90787,8.963454
3847138,Kepler-556 b,4.175,492.2,4.202,504.6,4.087102,0.05779988,467.71826,7.1464543
3847907,Kepler-497 b,2.8837,2975.0,2.966,3660.0,2.7968454,0.06413212,2923.4075,78.61969
4056616,Kepler-1053 b,1.2248,202.89999999999998,1.284,196.6,1.2288282,0.06920836,167.64926,4.13212
4078311,Kepler-1944 b,1.5672,626.4,1.561,614.3,1.4097781,0.06457761,576.6263,29.709412
